itemcode,division,revenue_type,status,jobcode,customer_segment,manufacturing_type,productID,typeOfSale,forecast_date,createDate,PODate,cost,qty
CT-F-99-020503,PEM102-OLD,Omni Channel,Actual,CT240226,Smart Shop,MTS,P1745,Sale,2024-10-11,2024-10-04,2024-10-04,13176.66,2.0
CT-F-99-020503,PEM102-OLD,Omni Channel,Actual,CT240226,Contractor,MTS,P1745,Sale,2024-10-07,2024-10-07,2024-10-07,19764.99,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240146,Contractor,MTS,P15311,Sale,2024-11-29,2024-10-07,2024-10-07,19047.48,1.0
VT-F-99-010303,PEM102-OLD,Omni Channel,Actual,VT240056,Contractor,MTS,P7218,Sale,2024-10-10,2024-10-07,2024-10-07,20266.12,2.0
CT-F-99-020507,PEM102-OLD,Omni Channel,Actual,CT240214,Contractor,MTS,P1749,Sale,2024-11-29,2024-10-07,2024-10-07,21088.11,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-10-10,2024-10-07,2024-10-07,19047.48,1.0
CT-F-99-020504,PEM102-OLD,Omni Channel,Actual,CT240213,Contractor,MTS,P1746,Sale,2024-10-10,2024-10-07,2024-10-07,13663.56,2.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Contractor,MTS,P3555,Sale,2024-10-10,2024-10-07,2024-10-07,16772.96,2.0
CT-F-99-020507,PEM102-OLD,Omni Channel,Actual,CT240141,Contractor,MTS,P1749,Sale,2024-10-09,2024-10-07,2024-10-07,14536.62,2.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Contractor,MTS,P3555,Sale,2024-10-09,2024-10-07,2024-10-07,16772.96,2.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Contractor,MTS,P15311,Sale,2024-11-05,2024-10-08,2024-10-08,19003.97,1.0
CT-F-99-020529,PEM102-OLD,Omni Channel,Actual,CT240260,Contractor,MTO,P29687,Sale,2024-11-05,2024-10-08,2024-10-08,46726.95,3.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Contractor,MTS,P3555,Sale,2024-10-10,2024-10-08,2024-10-08,16767.14,2.0
CT-F-99-020508,PEM102-OLD,Omni Channel,Actual,CT240177,,MTS,P1750,Sale,2024-10-31,2024-10-08,2024-10-08,25351.89,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,Smart Shop,MTS,P15311,Sale,2024-10-17,2024-10-08,2024-10-08,19003.97,1.0
CT-F-99-020530,PEM102-OLD,Omni Channel,Actual,CT240249,Smart Shop,MTS,P15585,Sale,2024-10-17,2024-10-08,2024-10-08,43475.04,3.0
CT-F-99-020503,PEM102-OLD,Omni Channel,Actual,CT240235,Contractor,MTS,P1745,Sale,2024-10-09,2024-10-09,2024-10-09,6653.38,1.0
VT-F-99-010203,PEM102-OLD,Omni Channel,Actual,VT240136,Contractor,MTS,P3555,Sale,2024-10-09,2024-10-09,2024-10-09,8383.57,1.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,private company,MTS,P15311,Sale,2024-10-31,2024-10-09,2024-10-09,19003.97,1.0
CT-F-99-020504,PEM102-OLD,Omni Channel,Actual,"CT240195,CT240213",private company,MTS,P1746,Sale,2024-10-31,2024-10-09,2024-10-09,21419.31,3.0
CT-F-99-020510,PEM102-OLD,Omni Channel,Actual,CT240183,,MTS,P1751,Sale,2024-10-25,2024-10-09,2024-10-09,25069.14,3.0
VT-F-99-010721,PEM102-OLD,Omni Channel,Actual,VT240152,,MTS,P15311,Sale,2024-11-27,2024-10-09,2024-10-09,19003.97,1.0
CT-F-99-020506,PEM102-OLD,Omni Channel,Actual,CT240243,,MTS,P1748,Sale,2024-11-27,2024-10-09,2024-10-09,21559.77,3.0
