itemcode,createDate,qty,n_rows,revenue_type,linked_via_jobcode,linked_via_olmjobcode,linked
VT-F-99-010721,2024-02-07,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-07,3.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-07,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-07,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-07,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-07,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-07,3.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-07,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-07,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-07,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-07,1.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-02-07,3.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020502,2024-02-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020705,2024-02-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-02-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020705,2024-02-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-02-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-08,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-08,1.0,1,Omni Channel,True,True,True
CT-F-99-020527,2024-02-09,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-09,1.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-09,2.0,1,Omni Channel,True,True,True
CT-F-99-020704,2024-02-09,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-02-09,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-09,3.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-09,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-09,1.0,1,Omni Channel,True,True,True
CT-F-99-020510,2024-02-09,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-09,1.0,1,Omni Channel,True,True,True
CT-F-99-020702,2024-02-09,2.0,1,Omni Channel,True,True,True
VT-F-99-010303,2024-02-09,2.0,1,Omni Channel,True,True,True
CT-F-99-020710,2024-02-12,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-02-12,1.0,1,Omni Channel,True,True,True
CT-F-99-020707,2024-02-14,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-02-12,1.0,1,Omni Channel,True,True,True
CT-F-99-020523,2024-02-12,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-12,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-12,4.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-12,12.0,1,Omni Channel,True,True,True
CT-F-99-020502,2024-02-12,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-12,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-12,3.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-13,3.0,1,Omni Channel,True,True,True
VT-F-99-010302,2024-02-13,152.0,1,Tendering,False,False,False
CT-F-99-020508,2024-02-13,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-13,1.0,1,Omni Channel,True,True,True
CT-F-99-020728,2024-02-13,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-02-13,1.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-13,1.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-02-14,3.0,1,Omni Channel,True,True,True
CT-F-99-020530,2024-02-14,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-14,2.0,1,Omni Channel,True,True,True
CT-F-99-020501,2024-02-14,6.0,1,Omni Channel,True,True,True
CT-F-99-020502,2024-02-14,6.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-14,12.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-02-14,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-14,1.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-14,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-14,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-14,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-14,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-15,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-21,1.0,1,Omni Channel,True,True,True
CT-F-99-020507,2024-02-15,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-15,2.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-15,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-15,1.0,1,Omni Channel,True,True,True
CT-F-99-020704,2024-03-22,3.0,1,Omni Channel,True,True,True
VT-F-99-010819,2024-02-15,1.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-15,3.0,1,Omni Channel,True,True,True
CT-F-99-020505,2024-02-15,2.0,1,Omni Channel,True,True,True
VT-F-99-010209,2024-02-15,2.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-15,2.0,1,Omni Channel,True,True,True
VT-F-99-010203,2024-02-15,2.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-15,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-15,1.0,1,Omni Channel,True,True,True
CT-F-99-020527,2024-02-16,3.0,1,Omni Channel,False,False,False
CT-F-99-020510,2024-02-16,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-16,1.0,1,Omni Channel,True,True,True
CT-F-99-020524,2024-02-19,3.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-02-19,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-19,2.0,1,Omni Channel,True,True,True
CT-F-99-020528,2024-02-20,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-20,1.0,1,Omni Channel,True,True,True
CT-F-99-020504,2024-02-20,3.0,1,Omni Channel,True,True,True
CT-F-99-020510,2024-02-20,3.0,1,Omni Channel,True,True,True
VT-F-99-010721,2024-02-20,2.0,1,Omni Channel,True,True,True
CT-F-99-020506,2024-02-20,3.0,1,Omni Channel,True,True,True
CT-F-99-020508,2024-02-21,3.0,1,Omni Channel,True,True,True
